                Time                  x1                  y1                  x2                  y2
               26.24        -0.981510352       -0.1914090619       -0.4542293424        -1.041100027
               26.25       -0.9762514305       -0.2166405881       -0.4864074531        -1.088450704
               26.26       -0.9698816396       -0.2435766925        -0.518949225         -1.13613479
               26.27       -0.9622388436       -0.2722065538       -0.5518382086        -1.184111877
               26.28       -0.9531406519       -0.3025275156       -0.5850629786        -1.232322561
               26.29       -0.9423794559       -0.3345459027       -0.6186156443        -1.280683839
                26.3       -0.9297157633       -0.3682778835       -0.6524899771        -1.329082683
               26.31       -0.9148692126       -0.4037503236       -0.6866788217        -1.377366853
               26.32        -0.897506387       -0.4410014572       -0.7211702034        -1.425331458
               26.33        -0.877224206       -0.4800809228       -0.7559410574        -1.472698874
               26.34       -0.8535273245       -0.5210480845       -0.7909465612        -1.519087988
               26.35       -0.8257979316       -0.5639661126       -0.8261011646        -1.563966067
               26.36       -0.7932578208       -0.6088858923       -0.8612435805        -1.606572184
               26.37       -0.7549295685       -0.6558058757       -0.8960704313        -1.645795399
               26.38       -0.7096281839       -0.7045763554       -0.9300100904        -1.679990019
               26.39       -0.6560864306       -0.7546857595        -0.961996844        -1.706746062
                26.4       -0.5934630869       -0.8048612082       -0.9901571651        -1.722812083
               26.41       -0.5224769298       -0.8526534219        -1.011726443        -1.724797283
               26.42       -0.4463771693       -0.8948449155        -1.023966494        -1.711172406
               26.43       -0.3697569449       -0.9291285173        -1.025857309        -1.683802164
               26.44       -0.2960049093       -0.9551864183        -1.018457561        -1.646606816
               26.45        -0.226489795       -0.9740135383        -1.003693889        -1.603262134
               26.46       -0.1613238987       -0.9869015147       -0.9833586018         -1.55633891
               26.47        -0.100132041       -0.9949741576       -0.9588266757        -1.507461742
               26.48      -0.04242621833       -0.9990996026       -0.9310988616        -1.457641785
               26.49       0.01225842848       -0.9999248626       -0.9009043449        -1.407519943
                26.5        0.0643261604       -0.9979289279       -0.8687861656        -1.357513948
               26.51         0.114117706       -0.9934672361       -0.8351607986        -1.307903749
               26.52        0.1619175218       -0.9868042947       -0.8003579243        -1.258881427
               26.53        0.2079627585       -0.9781367446       -0.7646469404         -1.21058109
               26.54        0.2524512633       -0.9676096112       -0.7282548947        -1.163097287
               26.55        0.2955479895       -0.9553278944       -0.6913788661        -1.116496693
               26.56        0.3373898557       -0.9413650117       -0.6541946954        -1.070825732
               26.57        0.3780892843        -0.925769136       -0.6168632611        -1.026115698
               26.58        0.4177366667       -0.9085681467       -0.5795350518       -0.9823862983
               26.59        0.4564019824       -0.8897736962       -0.5423535106       -0.9396481901
                26.6         0.494135767       -0.8693847501       -0.5054574513        -0.897904881
               26.61        0.5309696069       -0.8473908641       -0.4689827303       -0.8571542341
               26.62        0.5669163256       -0.8237753818        -0.433063286       -0.8173897418
